"student_id","english_forename","english_surname","international_forename","international_surname","current_school","graduation_year","address_line_1","city","postal_code","phone_country_code","phone_number","email"
1,"Tedd","Dessent","","","Oyope",2021,"87215 Columbus Way","Milligan","32537",68,5349729051,"tdessent0@biblegateway.com"
2,"Ivan","Dickons","欣妍","章","Feedbug",2020,"7 Donald Lane","Paden","74860",20,4642131798,"idickons1@cloudflare.com"
3,"Devin","Harker","","","Flashset",2018,"4556 Eagle Crest Drive","McIntosh","36553",42,3657382429,"dharker2@studiopress.com"
4,"Maryjo","Orange","","","Devshare",2019,"2227 Sachs Lane","Waukesha","53189",98,1552299414,"morange3@newyorker.com"
5,"Ede","Stoakes","","","Yambee",2019,"84 Badeau Lane","Chitina","99566",7,1702239965,"estoakes4@devhub.com"
6,"Judas","Giriardelli","","","Jaxworks",2019,"3612 Judy Way","Paterson","07514",23,7382383072,"jgiriardelli5@google.it"
7,"Lemmy","Gheorghe","军卿","劳","Eazzy",2021,"0 Lake View Way","Bethesda","20817",76,2443144329,"lgheorghe6@slashdot.org"
8,"Teodorico","Van Arsdall","","","Jayo",2021,"3 Johnson Road","Austin","78758",85,7231384357,"tvanarsdall7@wufoo.com"
9,"Fergus","Espin","","","Linkbuzz",2019,"2 Bluestem Avenue","Riverdale","20738",97,2975402228,"fespin8@mozilla.org"
10,"Ninnette","Epton","","","Wikido",2019,"7 Oak Valley Drive","Whites City","88268",72,4077600911,"nepton9@abc.net.au"
11,"Sonnie","Duchasteau","","","Yacero",2021,"568 Dayton Court","Branchville","07890",34,4418384159,"sduchasteaua@zimbio.com"
12,"Francene","Halgarth","","","Yoveo",2019,"44963 Grover Drive","Lehigh Acres","33936",9,2209133303,"fhalgarthb@rediff.com"
13,"Yancy","Nettleship","","","Katz",2019,"2659 Straubel Place","Alexandria","22336",15,4263892052,"ynettleshipc@blinklist.com"
14,"Marten","Aloshikin","","","Gabtune",2020,"28 Golf Junction","La Fayette","30728",82,6062124924,"maloshikind@businesswire.com"
15,"Cheryl","Duthie","展博","山","Blogtags",2018,"7 Randy Way","Bakersfield","93383",29,8142839498,"cduthiee@studiopress.com"
16,"Lilyan","Boldecke","","","Shufflebeat",2020,"377 Reindahl Court","Hilbert","54129",67,7989244902,"lboldeckef@statcounter.com"
17,"Annissa","Mickleborough","","","Skibox",2020,"297 Beilfuss Drive","Fort Benning","31995",13,3056638210,"amickleboroughg@ft.com"
18,"Emmet","Mullin","","","Abatz",2021,"53 Maryland Trail","Ulster Park","12487",62,5583160808,"emullinh@nbcnews.com"
19,"Livy","Lucchi","","","Oloo",2018,"935 Merrick Circle","Burr Oak","52131",75,3737063306,"llucchii@tinyurl.com"
20,"Kacy","Rubie","孜绍","贺","Quinu",2018,"1926 Dorton Way","Detroit","48272",82,4506489676,"krubiej@devhub.com"
21,"Reggi","Timblett","","","Feedfish",2018,"93724 Blackbird Place","Curdsville","42334",6,9401548742,"rtimblettk@a8.net"
22,"Stephen","Mytton","","","Yakitri",2020,"13 Arkansas Junction","Arlington","22226",87,2458672357,"smyttonl@cocolog-nifty.com"
23,"Jeannette","Minghella","","","Ainyx",2020,"582 Anderson Street","Birmingham","35212",64,1498429320,"jminghellam@artisteer.com"
24,"Stephie","Speakman","","","Trilith",2021,"541 Bartelt Way","Dover","19904",20,4047388517,"sspeakmann@microsoft.com"
25,"Ted","Burgh","","","Dynava",2019,"23 Northport Plaza","Botkins","45306",80,8131792032,"tburgho@usda.gov"
26,"Iseabal","Volage","","","Yodo",2020,"5 Meadow Vale Pass","Reserve","70048",21,6607433755,"ivolagep@globo.com"
27,"Candie","Duckitt","","","Thoughtbeat",2019,"61 Welch Road","Florence","29501",79,9169830500,"cduckittq@de.vu"
28,"Phaidra","Dictus","","","Trunyx",2021,"52559 Ohio Pass","Hazel Park","48030",9,1422350135,"pdictusr@wikispaces.com"
29,"Rozalie","Gever","","","Brightdog",2021,"6 2nd Crossing","Jessup","18434",91,9449945885,"rgevers@pagesperso-orange.fr"
30,"Nate","Laban","","","Voolith",2018,"21910 High Crossing Point","Nicholls","31554",36,9739624063,"nlabant@gizmodo.com"
31,"Annie","Alan","","","Zazio",2018,"40 Nova Junction","Johannesburg","49751",29,5536499971,"aalanu@army.mil"
32,"Justino","Lubeck","","","Meevee",2020,"68845 Acker Junction","Grassflat","16839",31,7271872670,"jlubeckv@sitemeter.com"
33,"Newton","Aysik","","","Skyba",2020,"0 Summerview Drive","Cannonville","84718",66,8249478419,"naysikw@chronoengine.com"
34,"Melina","Farrin","","","Livepath",2020,"9 Rigney Junction","Alverton","15612",1,3804167876,"mfarrinx@si.edu"
35,"Lockwood","Hansod","秩选","蔚","Photofeed",2020,"31501 Katie Center","Mcgrew","69353",21,8788050965,"lhansody@umn.edu"
36,"Dominick","Roake","","","Buzzshare",2019,"56 5th Drive","El Paso","88516",52,2413494630,"droakez@wisc.edu"
37,"Fayre","Josephs","","","Tavu",2020,"8893 Melvin Hill","Caryville","37714",59,1755970672,"fjosephs10@mysql.com"
38,"Roscoe","Euels","","","Skyba",2021,"013 Prairieview Hill","Vega Alta","00692",96,6865478427,"reuels11@51.la"
39,"Llywellyn","MacDermid","","","Zoomcast",2019,"9 Basil Road","High Shoals","30645",49,2639610329,"lmacdermid12@reference.com"
40,"Ruth","Attenborrow","","","Eazzy",2019,"4397 Bay Junction","Lewisville","27023",86,2388039941,"rattenborrow13@com.com"
41,"Tonya","Allchorne","","","Viva",2019,"8 Ludington Street","Ware","01082",60,4054301306,"tallchorne14@mediafire.com"
42,"Rafferty","Speachley","","","Brainbox",2018,"92246 Kim Parkway","Raisin","93652",63,8608683102,"rspeachley15@upenn.edu"
43,"Richard","Rolls","","","Feedspan",2021,"49346 Brentwood Plaza","Greens Fork","47345",71,1195217201,"rrolls16@house.gov"
44,"Mia","Pressey","","","Midel",2018,"23563 Bunker Hill Avenue","San Bernardino","92403",80,4042876999,"mpressey17@intel.com"
